train_end,test_start,test_end,h,smape_ma,wape_ma,smape_sarimax,wape_sarimax,store_id,item_id
2013-06-29,2013-06-30,2013-07-13,14,15.93701153514084,16.013499552310396,8.446108356700988,8.45501592912856,2,GROCERY I
2013-07-13,2013-07-14,2013-07-27,14,12.815321254492968,12.941459030054364,9.748039664606456,10.759083915088748,2,GROCERY I
2013-07-27,2013-07-28,2013-08-10,14,12.26745210706346,12.283752556066947,7.450089633705878,7.270850361125773,2,GROCERY I
2013-08-10,2013-08-11,2013-08-24,14,11.998875950053876,11.94098887455238,8.53573757372116,8.83384340767118,2,GROCERY I
2013-08-24,2013-08-25,2013-09-07,14,18.187444700164143,18.474250825224516,12.039638920859057,12.50570022205383,2,GROCERY I
2013-09-07,2013-09-08,2013-09-21,14,18.935787566772902,19.36480753011423,8.26957154678535,8.421582176739935,2,GROCERY I
2013-09-21,2013-09-22,2013-10-05,14,18.12131501048888,18.194767397095344,9.160578182759926,9.245979072522085,2,GROCERY I
2013-10-05,2013-10-06,2013-10-19,14,18.889349330133616,19.397617626415563,10.876304796770068,10.896352548192656,2,GROCERY I
2013-10-19,2013-10-20,2013-11-02,14,20.45409600554093,20.843947280983038,8.372663500402567,8.21470739056377,2,GROCERY I
2013-11-02,2013-11-03,2013-11-16,14,19.33152235104049,19.49058334182474,8.152550089742046,7.810967026148634,2,GROCERY I
2013-11-16,2013-11-17,2013-11-30,14,18.72439320361989,19.032875656343766,5.655396756356518,5.418375106290862,2,GROCERY I
2013-11-30,2013-12-01,2013-12-14,14,16.77297285623574,17.162141073657594,11.115031256682343,11.151454502245809,2,GROCERY I
2013-12-14,2013-12-15,2013-12-29,14,24.05348431458633,23.409652837417024,24.262379419670754,22.736213943216125,2,GROCERY I
2013-12-29,2013-12-30,2014-01-12,14,31.01918769620492,26.449186211200438,30.65699340979404,25.122964651888907,2,GROCERY I
2014-01-12,2014-01-13,2014-01-26,14,24.50117645163564,25.767415730336502,19.90789692993574,21.18043588620123,2,GROCERY I
2014-01-26,2014-01-27,2014-02-09,14,18.154192406277588,18.561814350020917,15.188737606166946,15.628290885747711,2,GROCERY I
2014-02-09,2014-02-10,2014-02-23,14,16.057143786451384,16.43949734381672,10.079811442510787,9.843125447949227,2,GROCERY I
2014-02-23,2014-02-24,2014-03-09,14,16.930771281814216,17.248127978216107,14.566938531073623,14.694350416013851,2,GROCERY I
2014-03-09,2014-03-10,2014-03-23,14,17.50573316481201,18.21012811670495,11.40364966737573,11.977223275781094,2,GROCERY I
2014-03-23,2014-03-24,2014-04-06,14,17.56801357282379,17.90444136549691,10.152341968329406,10.147868087896793,2,GROCERY I
